Entidad_federativa,Municipio_o_Delegacion,Equipo_automaticoO3,Equipo_automaticoCO,Equipo_automaticoSO2,Equipo_automaticoNOx,Equipo_automaticoPM10,Equipo_automaticoPM2_5,Equipo_automaticoPM10/PM2_5,Equipo_automaticoPM10M,Equipo_automaticoPM2_5M,Equipo_manualO3,Equipo_manualPM10M,Equipo_manualPM2_5M,MixtoO3,MixtoCO,MixtoSO2,MixtoNOx,MixtoPM10,MixtoPM2_5,MixtoPM10/PM2_5,MixtoPM10M,MixtoPM2_5M,Entidad
Aguascalientes,Aguascalientes,4,4,4,4,4,3,,,,1,,,,,,,,,,,,Aguascalientes
Baja California,Ensenada,,,,,,,,,,1,,,1,1,1,1,,1,,1,,Baja California
Baja California,Mexicali,1,1,1,1,1,1,,,,1,1,,3,3,2,3,,2,,3,,Baja California
Baja California,Tecate,,,,,,,,,,1,,,1,1,1,,,,,1,,Baja California
Baja California,Tijuana,,,,,,,,,,1,1,,3,2,2,2,1,2,,3,,Baja California
Campeche,Campeche,1,1,1,1,1,1,,,,1,,,,,,,,,,,,Campeche
Coahuila,Monclova,1,1,1,1,1,1,,,,1,,,,,,,,,,,,Coahuila
Coahuila,Piedras Negras,1,1,1,1,1,1,,,,1,,,,,,,,,,,,Coahuila
Coahuila,Saltillo,1,1,1,1,1,1,,,,1,,,,,,,,,,,,Coahuila
Coahuila,Torreón,1,1,1,1,1,1,,,,1,3,,,,,,,,,,,Coahuila
Colima,Villa de Álvarez,1,1,1,1,1,1,,,,1,,,,,,,,,,,,Colima
Chiapas,Tuxtla Gutiérrez,1,,,,,1,,,,1,,,,,,,,,,,,Chiapas
Chihuahua,Chihuahua,3,3,3,3,3,1,,,,1,,,,,,,,,,,,Chihuahua
Chihuahua,Juárez,1,1,1,1,1,1,,,,1,7,,3,3,,,,,,4,,Chihuahua
Chihuahua,Ojinaga,,,,,,,,,,1,3,,,,,,,,,,,Chihuahua
Ciudad de México,Azcapotzalco,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,Ciudad de México
Ciudad de México,Coyoacán,1,1,1,1,,1,,,,1,,,,,,,,,,,,Ciudad de México
Ciudad de México,Cuajimalpa de Morelos,1,1,1,1,1,,,,,1,,,,,,,,,,,,Ciudad de México
Ciudad de México,Gustavo A. Madero,1,,,1,1,1,,,,1,,,,,,,,,,,,Ciudad de México
Ciudad de México,Iztacalco,1,1,1,1,1,,,,,1,,,,,,,,,,,,Ciudad de México
Ciudad de México,Iztapalapa,1,1,1,,,1,,,,1,,,1,1,1,1,1,1,1,1,1,Ciudad de México
Ciudad de México,Milpa Alta,1,1,1,1,,,1,,,1,,,,,,,,,,,,Ciudad de México
Ciudad de México,Álvaro Obregón,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,Ciudad de México
Ciudad de México,Tláhuac,1,1,1,1,1,,,,,1,,,,,,,,,,,,Ciudad de México
Ciudad de México,Tlalpan,2,1,1,2,1,2,1,,,1,,,,,,,,,,,,Ciudad de México
